Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes,Website,Source
Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes,Website,Source
"AEROCAPITAL FLIGHT SERVICES, LLC",O09A,Alabama,SO09 - Alabama & NW Florida (BHM),877 538 2376,rsimpson@acflightservices.com,Yes,Sent 2026-05-16 | id:b160925e-1cce-4510-834d-0d2def56c12d,https://www.businessairnews.com/hb_charterpage.html?recnum=150687,web
"AIRCRAFT MANAGEMENT SERVICES, INC.",AMSA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,https://www.acronymattic.com/Ag-Viation-Incorporated-(AVI).html,web
"AIRKLINE, INC",6BBA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,,
"AIRMED INTERNATIONAL, LLC",MDGA,Alabama,SO09 - Alabama & NW Florida (BHM),631-676-7488,zbonvallat@jetmembership.com,Yes,,,jetmembership
"AVIATION SERVICES GROUP, INC.",W1MA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,"https://www.aircharterguide.com/Operator_Info/AVIATION+SERVICES+GROUP,+INC./2383/BIRMINGHAM/2616",web
AXXEUM INC,AXMA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,,
B AND G FLYING SERVICE INC,BGUA,Alabama,SO09 - Alabama & NW Florida (BHM),866-448-2358,departures@jettly.com,Yes,Sent 2026-05-16 | id:7ee87475-68af-44c3-a1b2-d472e5d51e5d,https://jettly.com/,web
"COASTAL Air Service, INC.",C33A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,https://thejetfinder.com/operators/coastal-air-service-inc.html,web
EXECUTIVE AVIATION GROUP LLC,189A,Alabama,SO09 - Alabama & NW Florida (BHM),817-769-8714,Charter@trilogyaviationgroup.com,Yes,Sent 2026-05-16 | id:7caa78c7-89d8-4b07-972c-02a6587d9182,https://trilogyaviationgroup.com/countries/alabama/,web
HAYNES AVIATION LLC,4HYA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,https://www.privco.com/company/haynes-aviation,web
INTENSIVE AIR CARE CHARTER AIR INC,4JLA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,,
JET SERVICES INC,9JXA,Alabama,SO09 - Alabama & NW Florida (BHM),631-676-7488,zbonvallat@jetmembership.com,Yes,,http://www.flyjetservices.com,jetmembership
"LONG BAY AVIATION, LLC",3LGA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,,
"Southern Sky Aviation Charters, LLC.",365A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,https://www.jetandco.com/companies/southern-sky-aviation-charters-llc/1155,web
"Speed Aviation, Inc.",EE0A,Alabama,SO09 - Alabama & NW Florida (BHM),251-979-3422,Aboothe@Flyspeedaviation.com,Yes,Sent 2026-05-16 | id:4ce1390c-930c-4204-95a4-5a4ab992e52d,https://www.flyspeedaviation.com/,web
VSC AVIATION INC,V88A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,,https://app.hellogoodwin.com/operators/V88A,web
"4 W Air, LLC",SKOC,Alaska,AL03 - Anchorage  (ANC),(907) 469-0654,,No,,"https://www.buzzfile.com/business/4-W-Air,-LLC-907-469-0654",web
"40 Mile Air, Ltd.",FMAA,Alaska,AL01 - Fairbanks (FAI),,,No,,https://aviapages.com/company/40-mile-air-ltd/,web
A G SHOLTON COMPANY,O4LC,Alaska,AL03 - Anchorage  (ANC),196598 6910,,No,,https://jewlscholar.mtsu.edu/server/api/core/bitstreams/566d0930-cfdf-47b9-acc2-96b3a1d678ee/content,web
"ADAMS, ROBERT L",U7GC,Alaska,AL03 - Anchorage  (ANC),,,No,,,
ADVANCED PLACEMENT AVIATION LLC,3KPC,Alaska,AL03 - Anchorage  (ANC),,,No,,,
AIR MADURA II LLC,2MZC,Alaska,AL03 - Anchorage  (ANC),,,No,,,
AIR MADURA LLC,UMZA,Alaska,AL03 - Anchorage  (ANC),,,No,,https://v-1x.com/operators/air-madura-llc-ak,v-1x.com
AIRBRIDGE ENGINEERING LLC,3AGC,Alaska,AL03 - Anchorage  (ANC),6107338062,,No,,https://privatejetcardcomparisons.com/the-basics/part-135-charter-operators-and-private-jet-safety/,web
ALASKA AIR INC,JSFA,Alaska,AL03 - Anchorage  (ANC),907-243-1966,aas@gci.net,Yes,Sent 2026-05-16 | id:a761c3b6-81cd-47a1-a844-57afccaf74e0,https://listingsus.com/alaska/southcentral-region/anchorage-borough/travel/transportation/,web
ALASKA BUSH CHARTERS LLC,5H2C,Alaska,AL03 - Anchorage  (ANC),(907) 843-1925,akbushcharters@gmail.com,Yes,Sent 2026-05-16 | id:f6572ff4-1a54-4b62-bc20-8f3f9240b1c9,https://www.alaskabushcharters.com/,web
ALASKA BUSH FLOATPLANE SERVICE CO,B5PC,Alaska,AL03 - Anchorage  (ANC),,,No,,,
ALASKA CENTRAL EXPRESS INC,YADA,Alaska,AL03 - Anchorage  (ANC),,jobs@jsfirm.com,Yes,Sent 2026-05-16 | id:26244076-1236-4646-9172-d253dc12c0f3,https://www.jsfirm.com/Maintenance/A+P+Mechanic/Honolulu-Hawaii/jobID_58205,web
ALASKA FLYING ADVENTURES LLC,4FEA,Alaska,AL03 - Anchorage  (ANC),,,No,,https://travelagencyselma.com/travel-agency/alaska-flying-adventures-llc/,web
ALASKA ISLAND AIR INC,K1IC,Alaska,AL03 - Anchorage  (ANC),(907) 843-1090,Alaskaislandairoffice@gmail.com,Yes,Sent 2026-05-16 | id:25864d2f-8c9e-42e0-81b8-e15a2431b185,https://www.alaskaislandair.com/contact,web
ALASKA LAND EXPLORATION LLC,1XLA,Alaska,AL01 - Fairbanks (FAI),,,No,,,
ALASKA MOUNTAIN TRANSPORT LLC,K3OC,Alaska,AL03 - Anchorage  (ANC),,,No,,https://acejet.com/operators/alaska-mountain-transport-llc/,web
ALASKA SCENIC AIR LLC,2TWC,Alaska,AL03 - Anchorage  (ANC),,,No,,https://v-1x.com/operators/alaska-scenic-air-llc-ak,v-1x.com
ALASKA SKYWAYS INC,META,Alaska,AL03 - Anchorage  (ANC),907-276-5422,,No,,https://air-transportation.regionaldirectory.us/alaska.htm,web
ALBERTS AIR ALASKA LLC,392C,Alaska,AL03 - Anchorage  (ANC),,,No,,https://v-1x.com/operators/alberts-air-alaska-llc-ak,v-1x.com
ALPENGLOW AVIATION LLC,2BBC,Alaska,AL03 - Anchorage  (ANC),,,No,,https://jetandco.com/companies/alpenglow-aviation-llc/3081,web
ALPHA AVIATION LLC,4ZDA,Alaska,AL03 - Anchorage  (ANC),907.290.8878,info@flyalphaair.com,Yes,Sent 2026-05-16 | id:c9215b78-f8a6-4b42-9499-2ad57fd6dd79,https://www.flyalphaair.com/,web
ALPINE AIR ALASKA LLC,YDAA,Alaska,AL03 - Anchorage  (ANC),907.783.2360,,No,,https://alpineairalaska.com/contact/,web
ANTLER AVIATION AND WILDLIFE SERVICE LLC,1EQA,Alaska,AL03 - Anchorage  (ANC),,,No,,https://www.jetandco.com/companies/antler-aviation/411,web
"ARCTIC AIR TRANSPORT, LLC",G7UC,Alaska,AL03 - Anchorage  (ANC),,,No,,https://v-1x.com/operators/arctic-air-transport-llc-ak,v-1x.com
ARCTIC BACKCOUNTRY FLYING SERVICE LLC,4AKC,Alaska,AL01 - Fairbanks (FAI),,,No,,https://www.arcticbackcountry.com/,web
ARROWHEAD OUTFITTERS LLC,AO0A,Alaska,AL03 - Anchorage  (ANC),907-746-7744,,No,,https://arrowheadoutfitters.com/contact-us/,web
ARTIC'S AIR ACADEMY LLC,6ACA,Alaska,AL03 - Anchorage  (ANC),(800)-252-7528,admissions@alaskapacific.edu,Yes,Sent 2026-05-16 | id:b8cf22d9-2b11-4b4e-8ca0-90983bcec359,https://alumnius.net/alaska_pacific_unive-7716,web
