Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes
"AEROCAPITAL FLIGHT SERVICES, LLC",O09A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"AIRCRAFT MANAGEMENT SERVICES, INC.",AMSA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"AIRKLINE, INC",6BBA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"AIRMED INTERNATIONAL, LLC",MDGA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"AVIATION SERVICES GROUP, INC.",W1MA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
AXXEUM INC,AXMA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
B AND G FLYING SERVICE INC,BGUA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"COASTAL Air Service, INC.",C33A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
EXECUTIVE AVIATION GROUP LLC,189A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
HAYNES AVIATION LLC,4HYA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
INTENSIVE AIR CARE CHARTER AIR INC,4JLA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
JET SERVICES INC,9JXA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"LONG BAY AVIATION, LLC",3LGA,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"Southern Sky Aviation Charters, LLC.",365A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"Speed Aviation, Inc.",EE0A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
VSC AVIATION INC,V88A,Alabama,SO09 - Alabama & NW Florida (BHM),,,No,
"4 W Air, LLC",SKOC,Alaska,AL03 - Anchorage  (ANC),,,No,
"40 Mile Air, Ltd.",FMAA,Alaska,AL01 - Fairbanks (FAI),,,No,
A G SHOLTON COMPANY,O4LC,Alaska,AL03 - Anchorage  (ANC),,,No,
"ADAMS, ROBERT L",U7GC,Alaska,AL03 - Anchorage  (ANC),,,No,
ADVANCED PLACEMENT AVIATION LLC,3KPC,Alaska,AL03 - Anchorage  (ANC),,,No,
AIR MADURA II LLC,2MZC,Alaska,AL03 - Anchorage  (ANC),,,No,
